Store,date,weekly_sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.368
3,2010-02-12,420728.96,1,47.93,2.548,214.5747916,7.368
3,2010-02-19,421642.19,0,47.07,2.514,214.6198868,7.368
3,2010-02-26,407204.86,0,52.05,2.561,214.6475127,7.368
3,2010-03-05,415202.04,0,53.04,2.625,214.6751386,7.368
3,2010-03-12,384200.69,0,63.08,2.667,214.7027646,7.368
3,2010-03-19,375328.59,0,60.42,2.72,214.5301219,7.368
3,2010-03-26,359949.27,0,57.06,2.732,214.3241011,7.368
3,2010-04-02,423294.4,0,65.56,2.719,214.1180803,7.343
3,2010-04-09,415870.28,0,68.0,2.77,213.9120595,7.343
3,2010-04-16,354993.26,0,66.98,2.808,213.7726889,7.343
3,2010-04-23,339976.65,0,67.87,2.795,213.7221852,7.343
3,2010-04-30,361248.39,0,70.24,2.78,213.6716815,7.343
3,2010-05-07,399323.86,0,73.47,2.835,213.6211778,7.343
3,2010-05-14,384357.94,0,77.18,2.854,213.6196139,7.343
3,2010-05-21,343763.17,0,75.81,2.826,213.9116886,7.343
3,2010-05-28,350089.23,0,78.6,2.759,214.2037634,7.343
3,2010-06-04,396968.8,0,78.53,2.705,214.4958382,7.343
3,2010-06-11,355017.09,0,82.1,2.668,214.787913,7.343
3,2010-06-18,364076.85,0,83.52,2.637,214.7858259,7.343
3,2010-06-25,357346.48,0,83.79,2.653,214.6660741,7.343
3,2010-07-02,381151.72,0,82.2,2.669,214.5463222,7.346
3,2010-07-09,349214.18,0,81.75,2.642,214.4265704,7.346
3,2010-07-16,352728.78,0,84.32,2.623,214.4176476,7.346
3,2010-07-23,352864.49,0,83.32,2.608,214.5564968,7.346
3,2010-07-30,347955.05,0,82.04,2.64,214.695346,7.346
3,2010-08-06,402635.76,0,85.13,2.627,214.8341952,7.346
3,2010-08-13,339597.38,0,86.74,2.692,214.9730444,7.346
3,2010-08-20,351728.21,0,88.02,2.664,214.9314191,7.346
3,2010-08-27,362134.09,0,86.15,2.619,214.8897938,7.346
3,2010-09-03,366473.97,0,84.16,2.577,214.8481685,7.346
3,2010-09-10,352260.97,1,80.84,2.565,214.8065431,7.346
3,2010-09-17,363064.64,0,82.36,2.582,214.8322484,7.346
3,2010-09-24,355626.87,0,76.9,2.624,214.9084516,7.346
3,2010-10-01,358784.1,0,73.6,2.603,214.9846548,7.564
3,2010-10-08,395107.35,0,66.99,2.633,215.060858,7.564
3,2010-10-15,345584.39,0,69.71,2.72,215.1293114,7.564
3,2010-10-22,348895.98,0,71.64,2.725,215.17839,7.564
3,2010-10-29,348591.74,0,72.04,2.716,215.2274686,7.564
3,2010-11-05,423175.56,0,62.94,2.689,215.2765472,7.564
3,2010-11-12,386635.03,0,62.79,2.728,215.3256258,7.564
3,2010-11-19,372545.32,0,57.72,2.771,215.2074519,7.564
3,2010-11-26,565567.84,1,68.71,2.735,215.0614025,7.564
3,2010-12-03,476420.77,0,53.76,2.708,214.9153531,7.564
3,2010-12-10,467642.03,0,51.13,2.843,214.7693037,7.564
3,2010-12-17,498159.39,0,52.2,2.869,214.704919,7.564
3,2010-12-24,605990.41,0,57.16,2.886,214.7017828,7.564
3,2010-12-31,382677.76,1,53.2,2.943,214.6986466,7.564
3,2011-01-07,378241.34,0,53.35,2.976,214.6955104,7.551
3,2011-01-14,381061.1,0,44.76,2.983,214.7470729,7.551
3,2011-01-21,350876.7,0,50.74,3.016,215.1268275,7.551
3,2011-01-28,364866.24,0,48.71,3.01,215.5065821,7.551
3,2011-02-04,438516.53,0,45.95,2.989,215.8863367,7.551
3,2011-02-11,430526.21,1,43.57,3.022,216.2660913,7.551
3,2011-02-18,432782.1,0,61.58,3.045,216.5843571,7.551
3,2011-02-25,397211.19,0,67.4,3.065,216.8780275,7.551
3,2011-03-04,437084.51,0,65.11,3.288,217.1716979,7.551
3,2011-03-11,404753.3,0,61.29,3.459,217.4653683,7.551
3,2011-03-18,392109.51,0,69.47,3.488,217.7235226,7.551
3,2011-03-25,380683.67,0,72.94,3.473,217.9674705,7.551
3,2011-04-01,374556.08,0,68.76,3.524,218.2114184,7.574
3,2011-04-08,384075.31,0,72.55,3.622,218.4553663,7.574
3,2011-04-15,366250.69,0,75.88,3.743,218.6788642,7.574
3,2011-04-22,391860.04,0,76.91,3.807,218.851237,7.574
3,2011-04-29,367405.4,0,78.69,3.81,219.0236099,7.574
3,2011-05-06,413042.12,0,69.45,3.906,219.1959827,7.574
3,2011-05-13,386312.68,0,79.87,3.899,219.3683556,7.574
3,2011-05-20,364603.13,0,75.79,3.907,219.127216,7.574
3,2011-05-27,369350.6,0,84.41,3.786,218.8860765,7.574
3,2011-06-03,394507.84,0,84.29,3.699,218.6449369,7.574
3,2011-06-10,391638.75,0,84.84,3.648,218.4037974,7.574
3,2011-06-17,403423.34,0,86.96,3.637,218.3551748,7.574
3,2011-06-24,385520.71,0,84.94,3.594,218.45094,7.574
3,2011-07-01,368962.72,0,85.1,3.524,218.5467052,7.567
3,2011-07-08,395146.24,0,85.38,3.48,218.6424704,7.567
3,2011-07-15,373454.33,0,87.14,3.575,218.7275216,7.567
3,2011-07-22,360617.37,0,86.19,3.651,218.7857881,7.567
3,2011-07-29,345381.29,0,88.07,3.682,218.8440545,7.567
3,2011-08-05,409981.25,0,88.45,3.684,218.9023209,7.567
3,2011-08-12,380376.85,0,88.88,3.638,218.9605873,7.567
3,2011-08-19,379716.91,0,88.44,3.554,219.023271,7.567
3,2011-08-26,366367.55,0,87.67,3.523,219.0866908,7.567
3,2011-09-02,375988.69,0,89.12,3.533,219.1501106,7.567
3,2011-09-09,377347.49,1,81.72,3.546,219.2135305,7.567
3,2011-09-16,375629.51,0,83.63,3.526,219.3972867,7.567
3,2011-09-23,365248.94,0,80.19,3.467,219.7414914,7.567
3,2011-09-30,368477.93,0,82.58,3.355,220.085696,7.567
3,2011-10-07,403342.4,0,75.54,3.285,220.4299007,7.197
3,2011-10-14,368282.57,0,73.75,3.274,220.7486167,7.197
3,2011-10-21,394976.36,0,69.03,3.353,220.9144005,7.197
3,2011-10-28,389540.62,0,71.04,3.372,221.0801842,7.197
3,2011-11-04,459443.22,0,59.31,3.332,221.245968,7.197
3,2011-11-11,407764.25,0,61.7,3.297,221.4117517,7.197
3,2011-11-18,398838.97,0,63.91,3.308,221.6432852,7.197
3,2011-11-25,556925.19,1,68.0,3.236,221.9011185,7.197
3,2011-12-02,472511.32,0,54.97,3.172,222.1589519,7.197
3,2011-12-09,468772.8,0,49.26,3.158,222.4167852,7.197
3,2011-12-16,510747.62,0,57.95,3.159,222.6426418,7.197
3,2011-12-23,551221.21,0,53.41,3.112,222.8258628,7.197
3,2011-12-30,410553.88,1,48.29,3.129,223.0090839,7.197
3,2012-01-06,398178.21,0,52.42,3.157,223.1923049,6.833
3,2012-01-13,367438.62,0,51.86,3.261,223.3755259,6.833
3,2012-01-20,365818.61,0,56.2,3.268,223.4700552,6.833
3,2012-01-27,349518.1,0,58.06,3.29,223.5645845,6.833
3,2012-02-03,424960.66,0,59.33,3.36,223.6591137,6.833
3,2012-02-10,473292.47,1,51.65,3.409,223.753643,6.833
3,2012-02-17,475591.08,0,52.39,3.51,223.9170153,6.833
3,2012-02-24,418925.47,0,60.12,3.555,224.1320199,6.833
3,2012-03-02,469752.56,0,61.65,3.63,224.3470245,6.833
3,2012-03-09,445162.05,0,60.71,3.669,224.5620291,6.833
3,2012-03-16,411775.8,0,64.0,3.734,224.7166953,6.833
3,2012-03-23,413907.25,0,66.53,3.787,224.7909104,6.833
3,2012-03-30,407488.84,0,69.36,3.845,224.8651254,6.833
3,2012-04-06,503232.13,0,73.01,3.891,224.9393405,6.664
3,2012-04-13,420789.74,0,72.83,3.891,225.0135556,6.664
3,2012-04-20,434822.13,0,72.05,3.877,225.0689541,6.664
3,2012-04-27,394616.11,0,73.39,3.814,225.1243526,6.664
3,2012-05-04,439913.57,0,79.51,3.749,225.1797511,6.664
3,2012-05-11,431985.36,0,75.19,3.688,225.2351496,6.664
3,2012-05-18,418112.76,0,72.38,3.63,225.2512024,6.664
3,2012-05-25,413701.29,0,78.58,3.561,225.2515168,6.664
3,2012-06-01,432268.53,0,81.55,3.501,225.2518313,6.664
3,2012-06-08,446336.8,0,81.65,3.452,225.2521458,6.664
3,2012-06-15,442074.79,0,84.66,3.393,225.2644795,6.664
3,2012-06-22,419497.95,0,82.7,3.346,225.3068615,6.664
3,2012-06-29,422965.33,0,86.42,3.286,225.3492435,6.664
3,2012-07-06,411206.5,0,83.14,3.227,225.3916254,6.334
3,2012-07-13,416913.1,0,82.28,3.256,225.4340074,6.334
3,2012-07-20,432424.85,0,81.38,3.311,225.4438827,6.334
3,2012-07-27,389427.9,0,84.94,3.407,225.4537579,6.334
3,2012-08-03,419990.29,0,86.55,3.417,225.4636332,6.334
3,2012-08-10,391811.6,0,85.85,3.494,225.4735085,6.334
3,2012-08-17,394918.83,0,87.36,3.571,225.5558664,6.334
3,2012-08-24,412449.67,0,83.01,3.62,225.6925864,6.334
3,2012-08-31,408838.73,0,85.18,3.638,225.8293063,6.334
3,2012-09-07,408229.73,1,84.99,3.73,225.9660263,6.334
3,2012-09-14,407589.16,0,78.36,3.717,226.1122067,6.334
3,2012-09-21,414392.09,0,72.78,3.721,226.3151496,6.334
3,2012-09-28,389813.02,0,77.46,3.666,226.5180926,6.334
3,2012-10-05,443557.65,0,72.74,3.617,226.7210356,6.034
3,2012-10-12,410804.39,0,70.31,3.601,226.9239785,6.034
3,2012-10-19,424513.08,0,73.44,3.594,226.9688442,6.034
3,2012-10-26,405432.7,0,74.66,3.506,226.9873637,6.034
