name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kharkiv,2024-04-01T00:00:00,15,15,1,38.57,0,0,,0,0,23.8,14.4,170,1018,0,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-01T01:00:00,14,14,1,41.14,0,0,,0,0,24.8,14.4,190,1018,12.7,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-01T02:00:00,13,13,0,40.85,0,0,,0,0,25.2,14.4,190,1018,26.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-01T03:00:00,12,12,0,43.62,0,0,,0,0,25.2,10.8,190,1018,75.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-01T04:00:00,13,13,0,40.85,0,0,,0,0,25.2,18,180,1017,97.3,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-04-01T05:00:00,12,12,1,46.89,0,0,,0,0,25.6,18,180,1017,99,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-04-01T06:00:00,11,11,2,53.82,0,0,,0,0,26.6,21.6,170,1017,97.4,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-04-01T07:00:00,11,11,3,57.78,0,0,,0,0,28.1,18,160,1017,93,10,20,0.1,0,,Overcast,cloudy,UUOB
kharkiv,2024-04-01T08:00:00,12,12,3,54.08,0,0,,0,0,31,21.6,160,1017,63.6,10,119.8,0.4,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T09:00:00,15,15,3,44.49,0,0,,0,0,32.4,25.2,170,1016,44.3,10,257.9,0.9,3,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T10:00:00,16,16,2,38.86,0,0,,0,0,38.2,28.8,180,1016,0.8,10,457.3,1.6,5,,Clear,clear-day,UUOB
kharkiv,2024-04-01T11:00:00,18,18,4,39.44,0,0,,0,0,40,25.2,170,1016,3.7,10,586.2,2.1,6,,Clear,clear-day,UUOB
kharkiv,2024-04-01T12:00:00,20,20,4,34.81,0,0,,0,0,41,28.8,170,1015,73.6,10,673.9,2.4,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T13:00:00,21,21,4,32.73,0,0,,0,0,39.6,21.6,180,1015,40.8,10,694.6,2.5,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T14:00:00,22,22,4,30.79,0,0,,0,0,39.6,21.6,170,1015,68.9,10,676.5,2.4,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T15:00:00,23,23,3,27,0,0,,0,0,46.8,28.8,180,1013,22.6,10,591.9,2.1,6,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T16:00:00,24,24,3,25.42,0,0,,0,0,43.9,28.8,190,1013,0,10,475.9,1.7,5,,Clear,clear-day,UUOB
kharkiv,2024-04-01T17:00:00,23,23,3,27,0,0,,0,0,41.4,25.2,180,1012,0.6,10,345.4,1.2,3,,Clear,clear-day,UUOB
kharkiv,2024-04-01T18:00:00,22,22,3,28.69,0,0,,0,0,34.6,18,190,1012,4.7,10,188.3,0.7,2,,Clear,clear-day,UUOB
kharkiv,2024-04-01T19:00:00,21,21,3,30.5,0,0,,0,0,36,18,190,1012,36.3,10,50.3,0.2,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-01T20:00:00,20,20,3,32.44,0,0,,0,0,27,18,180,1012,53.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-01T21:00:00,18.9,18.9,4.6,39.07,0,0,,0,0,25.9,7.4,161,1012.8,60,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-01T22:00:00,18,18,4,39.44,0,0,,0,0,25.2,10.8,180,1012,97.7,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-04-01T23:00:00,17,17,4,42.01,0,0,,0,0,25.2,18,160,1012,77.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-02T00:00:00,16.7,16.7,5.3,47.18,0,0,,0,0,24.5,7.4,170,1012.4,34.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-02T01:00:00,16,16,6,51.47,0,0,,0,0,23.8,18,180,1011,1.3,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-02T02:00:00,15,15,6,54.87,0,0,,0,0,22.3,18,180,1011,0,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-02T03:00:00,13.7,13.7,5.4,57.28,0,0,,0,0,20.9,7.3,151,1011.8,9,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-04-02T04:00:00,13,13,6,62.47,0,0,,0,0,20.2,14.4,170,1010,29.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-02T05:00:00,13,13,5,58.29,0,0,,0,0,20.2,10.8,170,1010,25.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-02T06:00:00,11.3,11.3,5.3,66.58,0,0,,0,0,20.2,0.2,150,1011.4,40,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-02T07:00:00,12,12,5,62.24,0,0,,0,0,21.2,10.8,160,1010,54.2,10,24.9,0.1,0,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T08:00:00,13,13,6,62.47,0,0,,0,0,24.8,14.4,160,1010,81.8,10,148.6,0.5,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T09:00:00,14,14,6,58.53,0,0,,0,0,29.9,14.4,170,1010,94.3,10,304.7,1.1,3,,Overcast,cloudy,UUOB
kharkiv,2024-04-02T10:00:00,16,16,6,51.47,0,0,,0,0,34.6,14.4,140,1009,71.1,10,453.2,1.6,5,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T11:00:00,17,17,6,48.29,0,0,,0,0,38.5,14.4,140,1008,65.8,10,585.1,2.1,6,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T12:00:00,19,19,6,42.59,0,0,,0,0,41.4,18,150,1007,75.2,10,659,2.4,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T13:00:00,22,22,6,35.39,0,0,,0,0,39.6,21.6,160,1007,87.2,10,681.8,2.5,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T14:00:00,23,23,6,33.3,0,0,,0,0,39.6,21.6,160,1006,84.3,10,662.4,2.4,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T15:00:00,23,23,6,33.3,0,0,,0,0,46.4,28.8,170,1005,85.3,10,596.2,2.1,6,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T16:00:00,23,23,6,33.3,0,0,,0,0,39.6,21.6,170,1005,90.1,10,486.9,1.8,5,,Overcast,cloudy,UUOB
kharkiv,2024-04-02T17:00:00,23,23,5,31.07,0,0,,0,0,45.4,21.6,160,1003,93.6,10,330.1,1.2,3,,Overcast,cloudy,UUOB
kharkiv,2024-04-02T18:00:00,23,23,5,31.07,0,0,,0,0,42.1,21.6,160,1002,84,10,175.3,0.6,2,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T19:00:00,22,22,4,30.79,0,0,,0,0,42.8,21.6,160,1002,41.3,10,51.4,0.2,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-02T20:00:00,21,21,5,35.1,0,0,,0,0,43.2,25.2,160,1001,10.5,10,0.1,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-02T21:00:00,20,20,4,34.81,0,0,,0,0,43.2,25.2,160,1001,37.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-02T22:00:00,18,18,2,34.24,0,0,,0,0,48.6,28.8,160,1001,74.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-02T23:00:00,17,17,1,33.94,0,0,,0,0,46.1,25.2,160,1000,75.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-03T00:00:00,16,16,2,38.86,0,0,,0,0,46.8,28.8,160,1000,92.3,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-04-03T01:00:00,15,15,2,41.43,0,0,,0,0,41,21.6,170,1000,36.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-03T02:00:00,14,14,2,44.2,0,0,,0,0,38.2,18,160,1000,38.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-03T03:00:00,13.1,13.1,2.3,47.9,0,0,,0,0,33.8,7.4,150,1001.3,60,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-03T04:00:00,12,12,3,54.08,0,0,,0,0,31,18,170,1000,81.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-03T05:00:00,11,11,4,62,0,0,,0,0,29.9,14.4,150,1000,84.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-03T06:00:00,12.1,12.1,5,61.86,0,0,,0,0,32.8,14.6,190,1001.8,60,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-03T07:00:00,11,11,5,66.49,0,0,,0,0,36.7,14.4,190,1000,78.9,10,16.1,0.1,0,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-03T08:00:00,12,12,6,66.71,0,0,,0,0,42.5,21.6,210,1001,70.5,10,112.4,0.4,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-03T09:00:00,12.5,12.5,3.7,54.81,0,0,,0,0,49,25.3,259,1003.9,40.2,10,282.8,1,3,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-04-03T10:00:00,12,12,4,58.04,0,0,,0,0,48.6,28.8,230,1002,50,10,390.2,1.4,4,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-03T11:00:00,13,13,4,54.35,0,0,,0,0,48.2,28.8,230,1003,50,10,374.2,1.3,4,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-03T12:00:00,14.3,14.3,2.6,45.04,0,0,,0,0,45.4,21.7,230,1005.4,89.3,10,344.1,1.2,3,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-04-03T13:00:00,14,14,3,47.46,0.1,100,rain,0,0,43.6,28.8,230,1004,50,10,312.6,1.1,3,,"Rain, Partially cloudy",rain,UUOB
kharkiv,2024-04-03T14:00:00,15,15,3,44.49,0.1,100,rain,0,0,41,25.2,240,1004,33.1,10,205.3,0.7,2,,"Rain, Partially cloudy",rain,UUOB
kharkiv,2024-04-03T15:00:00,17,17,0.7,33.06,0,0,,0,0,43.2,18.1,259,1005.5,60,10,376.6,1.4,4,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-04-03T16:00:00,16,16,1,36.17,0,0,,0,0,41.8,28.8,230,1004,76.7,10,391.7,1.4,4,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-03T17:00:00,17,17,1,33.94,0,0,,0,0,42.1,32.4,230,1004,38.2,10,241.5,0.9,2,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-03T18:00:00,16.8,16.8,0.4,32.77,0,0,,0,0,46.8,18.2,240,1006.5,60,10,130.3,0.5,1,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-04-03T19:00:00,15,15,1,38.57,0,0,,0,0,28.1,18,240,1005,5.7,10,40.5,0.1,0,,Clear,clear-day,UUOB
kharkiv,2024-04-03T20:00:00,14,14,1,41.14,0,0,,0,0,23.4,14.4,230,1006,8.2,10,0.2,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-03T21:00:00,13.6,13.6,-0.8,36.97,0,0,,0,0,19.1,10.9,240,1008.9,11.3,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-04-03T22:00:00,12,12,0,43.62,0,0,,0,0,19.8,18,230,1007,5.8,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-03T23:00:00,10,8.5,1,53.55,0,0,,0,0,20.2,10.8,200,1008,0,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-04T00:00:00,10.8,10.8,-0.3,46.02,0,0,,0,0,22.3,7.4,240,1009.6,1.7,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-04-04T01:00:00,10,7.9,1,53.55,0,0,,0,0,22.7,14.4,210,1008,26.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-04T02:00:00,9,6.7,1,57.27,0,0,,0,0,23,14.4,210,1008,65.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-04T03:00:00,10,10,0.7,52.2,0,0,,0,0,23,7.3,210,1010.7,81.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-04T04:00:00,9,7.3,2,61.53,0,0,,0,0,23,10.8,200,1009,52.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-04-04T05:00:00,9,6.7,2,61.53,0,0,,0,0,22.7,14.4,200,1009,2.9,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-04-04T06:00:00,6.9,6.9,0.4,63.24,0,0,,0,0,23.4,0.2,200,1011.1,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-04-04T07:00:00,9,6.7,2,61.53,0,0,,0,0,25.2,14.4,200,1009,5.3,10,30.1,0.1,0,,Clear,clear-day,UUOB
kharkiv,2024-04-04T08:00:00,10,7.5,2,57.53,0,0,,0,0,28.8,18,200,1009,16.9,10,156.6,0.6,2,,Clear,clear-day,UUOB
kharkiv,2024-04-04T09:00:00,10.2,10.2,0.7,51.74,0,0,,0,0,33.1,7.4,200,1011.2,80,10,309.5,1.1,3,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-04-04T10:00:00,12,12,2,50.37,0,0,,0,0,37.1,18,210,1009,68.8,10,366.1,1.3,4,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-04-04T11:00:00,14,14,2,44.2,0,0,,0,0,39.6,28.8,230,1009,65.8,10,465.7,1.7,5,,Partially cloudy,partly-cloudy-day,UUOB
