name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kharkiv,2024-08-01T00:00:00,17,17,12,72.39,0,0,,0,0,17.6,10.8,270,1010,4,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-08-01T01:00:00,16,16,12,77.15,0,0,,0,0,17.6,10.8,280,1010,6.6,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-08-01T02:00:00,15,15,12,82.26,0,0,,0,0,18,7.2,280,1010,3,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-08-01T03:00:00,16,16,11.7,75.27,0,0,,0,0,18.7,0.2,270,1011.1,2.4,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-08-01T04:00:00,14,14,12,87.74,0,0,,0,0,18.4,10.8,270,1010,1.3,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-08-01T05:00:00,14,14,12,87.74,0,0,,0,0,16.2,14.4,270,1010,45.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-08-01T06:00:00,13.9,13.9,11.2,83.83,0,0,,0,0,16.9,0.2,290,1011.5,42.7,10,24.3,0.1,0,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-08-01T07:00:00,15,15,12,82.26,0,0,,0,0,20.5,14.4,290,1010,0.8,10,135.2,0.5,1,,Clear,clear-day,UUOB
kharkiv,2024-08-01T08:00:00,18,18,13,72.57,0,0,,0,0,23.8,14.4,300,1010,39.3,10,289.2,1,3,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-08-01T09:00:00,21.5,21.5,12.2,55.28,0,0,,0,0,27,7.3,280,1011.2,80,10,433.6,1.6,4,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-08-01T10:00:00,22,22,13,56.65,0,0,,0,0,35.6,18,280,1010,88,10,575.7,2.1,6,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-08-01T11:00:00,23,23,12,49.92,0,0,,0,0,38.2,18,270,1010,100,10,603,2.2,6,,Overcast,cloudy,UUOB
kharkiv,2024-08-01T12:00:00,24.3,24.3,9.2,38.21,0,0,,0,0,38.9,14.5,270,1010,80,10,663.9,2.4,7,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-08-01T13:00:00,24,24,8,35.96,0,0,,0,0,40,18,280,1009,98.4,10,706.5,2.5,7,,Overcast,cloudy,UUOB
kharkiv,2024-08-01T14:00:00,25,25,9,36.24,0,0,,0,0,41.4,18,280,1008,96.4,10,672.6,2.4,7,,Overcast,cloudy,UUOB
kharkiv,2024-08-01T15:00:00,27.1,26.4,7.2,28.25,0,0,,0,0,43.2,18,241,1008.3,50,10,582.7,2.1,6,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-08-01T16:00:00,26,26,9,34.15,0,0,,0,0,43.6,18,280,1008,76.8,10,488.2,1.8,5,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-08-01T17:00:00,26,26,8,31.92,0,0,,0,0,43.6,21.6,280,1007,85.1,10,267.6,1,3,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-08-01T18:00:00,27.3,26.6,7.4,28.3,0,0,,0,0,37.1,10.9,260,1007.2,30,10,212,0.8,2,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
