name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kharkiv,2024-12-01,31.9,30.1,30.6,30.1,23.4,26.9,29.3,95.1,0,0,0,,0,0,5.6,6.7,308.5,1033.5,94,4.1,20.5,1.8,1,,2024-12-01T07:12:18,2024-12-01T15:35:59,0,Overcast,Cloudy skies throughout the day.,cloudy,UUOB
kharkiv,2024-12-02,31.9,28.3,30.2,31.2,23.3,27.2,26.2,85,0,0,0,,0,0,8.5,6.7,247,1030,94,5.9,24.9,2.1,1,,2024-12-02T07:13:36,2024-12-02T15:35:28,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-03,28.3,24.7,26.6,28.3,15.3,21.1,25.9,97.3,0,0,0,,0,0,12.1,8.9,195.6,1026,100,3.4,19.7,1.6,1,,2024-12-03T07:14:53,2024-12-03T15:35:00,0.08,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-04,32.2,28.3,30.3,32.1,21.3,25.9,26.3,85.1,0.004,100,4.17,"rain,snow",0,0,12.8,6.7,152.2,1026.5,97,6.1,19.8,1.6,1,,2024-12-04T07:16:07,2024-12-04T15:34:35,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"UUOB,34300099999"
kharkiv,2024-12-05,31.4,26.5,29.7,26.7,14.3,21.8,27.6,91.8,0.047,100,8.33,"rain,snow",0,0,20.4,15.7,101.8,1031,97.5,5.6,17,1.5,1,,2024-12-05T07:17:20,2024-12-05T15:34:13,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-06,29.5,24.7,27,24.6,14,16.3,25.5,94.2,0.07,100,8.33,"rain,snow",0.6,0,25.9,15.7,106.3,1030.3,100,3.7,11.7,1.1,1,,2024-12-06T07:18:31,2024-12-06T15:33:54,0.18,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-07,31.7,26.5,28.1,23.1,13.5,17.8,27.6,98,0.079,100,4.17,"rain,snow",0,0.1,23.7,17.9,120.3,1028.8,100,2.4,25.5,2.2,1,,2024-12-07T07:19:39,2024-12-07T15:33:38,0.22,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-08,32.6,24.7,28.6,24.6,12,18,28.2,98.1,0.012,100,4.17,snow,0,0.1,26.2,17.9,111.5,1026.5,100,2.6,23.9,2,1,,2024-12-08T07:20:45,2024-12-08T15:33:26,0.25,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,rain,"UUOB,34300099999"
kharkiv,2024-12-09,33.2,30.1,31.4,27.1,20.8,23.5,30.7,97.3,0.012,100,4.17,"rain,snow",0,0.1,21,11.2,100.6,1027.3,99,2.6,17.9,1.7,1,,2024-12-09T07:21:49,2024-12-09T15:33:16,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"UUOB,34300099999"
kharkiv,2024-12-10,34.4,30.1,32.2,34.4,22,26.3,31.6,97.5,0.118,100,4.17,"rain,snow",0,0,18.1,9,87.4,1024,100,2.9,7.9,0.6,0,,2024-12-10T07:22:51,2024-12-10T15:33:10,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"UUOB,34300099999"
kharkiv,2024-12-11,36.7,31.9,32.9,36.7,25.6,29,32.7,99.3,0.091,100,8.33,"rain,snow",0,0,14.1,6.7,55.3,1016.1,100,0.5,6.9,0.6,0,,2024-12-11T07:23:50,2024-12-11T15:33:07,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"UUOB,34300099999"
kharkiv,2024-12-12,33.5,26.5,29.3,29.1,15.2,19.9,24.1,81.8,0.091,100,8.33,"rain,snow",0.5,0,29.3,17.9,332.6,1010.8,94.1,5,19.8,1.7,1,,2024-12-12T07:24:47,2024-12-12T15:33:07,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-13,26.8,19.3,22.5,16.3,2.5,8.6,16.7,78.9,0.134,100,8.33,snow,0.3,0.1,41.4,24.6,320.9,1014.1,96.4,4,38,3.3,2,,2024-12-13T07:25:41,2024-12-13T15:33:11,0.43,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-14,26.3,13.9,20.7,17.1,-1.9,9,12.7,71.8,0,0,0,,0,0.1,31.3,17.9,269.3,1023.5,80.3,6.2,45.8,3.9,2,,2024-12-14T07:26:33,2024-12-14T15:33:17,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-12-15,33.2,22.9,29,25.9,10.7,19.9,26.5,90.8,0.185,100,8.33,"rain,snow",0.9,0.1,27.5,15.7,239.2,1007.4,98,4.2,12.1,1,1,,2024-12-15T07:27:21,2024-12-15T15:33:27,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-16,38.9,28.3,32.7,30.2,19.8,23.3,30.2,90.7,0.232,100,8.33,"rain,snow",0.5,0.9,45.4,17.9,261.5,1002.1,96.6,5,18.2,1.7,1,,2024-12-16T07:28:08,2024-12-16T15:33:40,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-17,38,33.7,35.2,32.2,22.8,25.9,31.6,87,0.024,100,8.33,"rain,snow",0,0.1,38,22.4,285.3,1000.2,80.7,6,30.3,2.6,2,,2024-12-17T07:28:51,2024-12-17T15:33:57,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"UUOB,34300099999"
kharkiv,2024-12-18,35.9,21.1,30.5,27.9,9.5,19.6,23.6,75.6,0.024,100,20.83,"rain,snow",0,0,35.1,24.6,311.4,1007.7,68.5,6,33.6,2.8,2,,2024-12-18T07:29:31,2024-12-18T15:34:16,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"UUOB,34300099999"
kharkiv,2024-12-19,37.6,17.5,26.3,32.5,6.5,19.4,22.5,85.7,0.079,100,4.17,"rain,snow",0.7,0,21.5,11.2,223.7,1014.6,86.5,4.9,18.4,1.7,1,,2024-12-19T07:30:09,2024-12-19T15:34:38,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-12-20,43.4,35.5,40.1,41.3,28.6,34.7,38.5,93.9,0,0,0,,0,0,22.4,13.4,220.6,1009.8,98.2,4.6,19,1.6,1,,2024-12-20T07:30:44,2024-12-20T15:35:04,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-21,42.2,33.7,39,42,27.8,35.6,38.1,96.8,0.157,100,4.17,rain,0,0,17.2,11.2,280.2,1012.7,97.5,3.5,5.9,0.5,0,,2024-12-21T07:31:16,2024-12-21T15:35:33,0.69,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"UUOB,34300099999"
kharkiv,2024-12-22,36.7,31.9,33.9,36.7,25.6,29.5,33.5,98.5,0.197,100,8.33,rain,0,0,12.5,8.9,57.2,1011.8,100,0.7,4.7,0.5,0,,2024-12-22T07:31:44,2024-12-22T15:36:05,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"UUOB,34300099999"
kharkiv,2024-12-23,40.3,33.7,36.5,40.3,27.8,32.4,36.4,99.5,0.146,100,8.33,rain,0,0,13.9,8.9,79.9,1010.5,100,0.8,3.8,0.3,0,,2024-12-23T07:32:10,2024-12-23T15:36:40,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"UUOB,34300099999"
kharkiv,2024-12-24,41.1,35.5,38.2,41.1,33.8,37.9,37.6,97.8,0.024,100,4.17,rain,0,0,9.4,4.5,63.3,1019.3,100,1.8,9.6,0.9,1,,2024-12-24T07:32:33,2024-12-24T15:37:18,0.79,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"UUOB,34300099999"
kharkiv,2024-12-25,39.3,33.7,36.2,39.3,29.6,33.5,35.5,97.7,0,0,0,,0,0,16.1,4.7,24.5,1028.8,98.5,4.1,24.5,2,1,,2024-12-25T07:32:52,2024-12-25T15:37:58,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-26,34.8,30.1,32.5,34.4,23.4,27.5,30.2,91.5,0,0,0,,0,0,18.1,6.7,24.7,1033.4,99.1,4.9,15.6,1.3,1,,2024-12-26T07:33:08,2024-12-26T15:38:42,0.85,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-27,31.7,26.5,28.6,31.7,21.2,25.2,26,90.2,0,0,0,,0,0,11.9,6.7,75.7,1030.7,100,6,27.2,2.3,1,,2024-12-27T07:33:22,2024-12-27T15:39:29,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-28,32.1,28.1,29.8,31.2,21.1,24.5,28.3,94.2,0,0,0,,0,0,13,8.9,52,1026.9,100,5.1,14.5,1.3,1,,2024-12-28T07:33:32,2024-12-28T15:40:18,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-29,31.7,28.3,29.8,31.7,23.3,26.4,28.9,96.3,0,0,0,,0,0,11,6.7,251.3,1026,99.6,3.4,27.4,2.3,1,,2024-12-29T07:33:39,2024-12-29T15:41:10,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-12-30,31.4,29.9,30.3,24.9,19.8,22,29.7,97.8,0.032,100,29.17,"rain,snow",0,0,18.6,13.4,254.7,1020.7,100,2.9,15.4,1.2,1,,2024-12-30T07:33:43,2024-12-30T15:42:05,0.98,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"UUOB,34300099999"
kharkiv,2024-12-31,34.1,30.1,32.2,28.2,19.8,23.9,31.4,97.1,0.012,100,12.5,"rain,snow",0,0,24.6,15.7,276.2,1018.1,100,3.2,12.5,1.2,1,,2024-12-31T07:33:43,2024-12-31T15:43:03,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"UUOB,34300099999"
