name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kharkiv,2025-02-01,41.2,35,38.4,41.2,27.9,34.3,37.6,96.9,0.197,100,4.17,rain,0,0,21.9,11.2,171.7,1022.9,99.5,2.6,16.3,1.3,1,,2025-02-01T07:08:33,2025-02-01T16:29:33,0.1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-02,36.2,30.2,32.9,33.2,24.4,27.6,28.7,85.4,0.276,100,4.17,"rain,snow",0,0.1,21.7,12.3,258.2,1021.5,73.9,5.4,33.3,2.7,2,,2025-02-02T07:07:05,2025-02-02T16:31:16,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-03,36.7,28.4,31.5,32.6,23.5,27.9,25.3,78.5,0.008,100,8.33,"rain,snow",0,0,10.7,8.9,255.8,1019.6,54,6,51.2,4.5,2,,2025-02-03T07:05:35,2025-02-03T16:32:59,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-04,31.7,21.2,26.7,28.5,15.9,22,24.9,93.2,0.036,100,8.33,"rain,snow",0.1,0.1,20.1,12.3,330,1020.8,57.3,4.1,69.6,5.9,3,,2025-02-04T07:04:04,2025-02-04T16:34:42,0.21,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-05,32,26.6,28.2,29.9,13.6,19.6,26.5,93.4,0.091,100,8.33,"rain,snow",0.4,0.2,27.7,17.9,337.5,1022.1,95.4,4.3,35.9,3,1,,2025-02-05T07:02:31,2025-02-05T16:36:26,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-06,28.5,21.2,25.2,22,10.3,17,21.5,85.6,0,0,0,,0,0.5,19.7,12.3,63,1036,94.3,5.8,49.5,4.2,2,,2025-02-06T07:00:56,2025-02-06T16:38:10,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-07,23.1,12.2,19.2,12.9,0.8,7.7,15.4,85.1,0,0,0,,0,0.5,24.2,13.4,65,1043.6,63.8,5.7,41.5,3.5,2,,2025-02-07T06:59:19,2025-02-07T16:39:54,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-08,26.6,17.6,20.1,21.2,5.1,10,16.8,87,0,0,0,,0,0.4,21.7,11.2,61.1,1046.4,94.1,4.9,76.2,6.7,4,,2025-02-08T06:57:41,2025-02-08T16:41:38,0.35,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-09,27.7,10.3,17.7,22.5,-4,7.3,13.4,83.7,0,0,0,,0,0.3,19,11.2,38.7,1041.2,48.4,4.1,55.3,4.8,2,,2025-02-09T06:56:01,2025-02-09T16:43:22,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-10,19.1,8.5,13.7,12.5,-1.1,4.7,11.2,89.7,0.008,100,4.17,snow,0,0.2,17.7,7.9,45.1,1035.2,64.5,3.5,50.4,4.3,2,,2025-02-10T06:54:20,2025-02-10T16:45:05,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-11,26.2,6.8,13,18.8,-3.3,3.9,8.9,84,0,0,0,,0,0.2,19.2,8.9,22.8,1037.7,26.7,5.3,84.2,7.3,4,,2025-02-11T06:52:37,2025-02-11T16:46:49,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-12,26.2,6.8,15.8,26.2,-4.6,11.7,11,81.9,0,0,0,,0,0.2,13,6.7,350.3,1034.2,27.6,4.9,86.8,7.4,4,,2025-02-12T06:50:52,2025-02-12T16:48:33,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-13,34.8,11.3,18,30.8,6.6,15,12.7,81.3,0,0,0,,0,0.2,10.5,6.7,260.2,1025.6,4.6,4.2,101.9,8.8,4,,2025-02-13T06:49:07,2025-02-13T16:50:17,0.53,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-14,36.2,9.5,24.4,27.5,1,17.1,20.5,85.3,0.004,100,4.17,"rain,snow",0,0.2,29.1,22.3,194.7,1016.4,51,4.4,105.7,9.1,4,,2025-02-14T06:47:19,2025-02-14T16:52:00,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-15,32.6,14,24,24.3,1.4,13.6,22,92.1,0.315,100,8.33,"rain,snow",0.9,2.5,29.8,15.7,288.4,1009.6,94.9,3.9,55.3,4.6,2,,2025-02-15T06:45:31,2025-02-15T16:53:44,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-16,19.1,10.5,15,16,-1.1,6.2,10.8,83.4,0.008,100,4.17,snow,0,3.4,22.4,14.6,266.9,1015.9,43.8,6.1,108.5,9.3,5,,2025-02-16T06:43:41,2025-02-16T16:55:27,0.62,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-17,20.9,4.8,12.2,20.9,-6.7,6.4,7.5,81.5,0.024,100,4.17,snow,0,2.9,11.9,8.9,239.5,1023.3,11.1,6.2,89,7.7,4,,2025-02-17T06:41:50,2025-02-17T16:57:10,0.66,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-18,26.7,4.8,15.4,19.2,-3.9,5.9,7.8,72.4,0,0,0,,0,3.2,16.1,16.8,217.4,1027.1,3.2,6.2,110.7,9.6,4,,2025-02-18T06:39:58,2025-02-18T16:58:52,0.69,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-19,29.3,6.2,17.1,21,-3.9,8.2,10.2,75.1,0,0,0,,0,3.1,18.3,13.4,212.8,1027.1,8.6,6.2,126.9,10.9,5,,2025-02-19T06:38:04,2025-02-19T17:00:35,0.72,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-20,23.3,13.9,18.3,23.3,4,11.6,13.7,82.3,0.079,100,4.17,snow,0.1,3.2,17.9,8.9,319.9,1028.7,67.6,4.8,95.6,8.2,4,,2025-02-20T06:36:10,2025-02-20T17:02:17,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-21,23.2,9.5,16.9,17.3,-1.3,8.9,11.7,80,0,0,0,,0,4.5,12.1,10,16.1,1037.5,53.9,6,125.6,10.8,5,,2025-02-21T06:34:14,2025-02-21T17:03:59,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-22,23.3,3.9,14.5,18.2,-2.3,6.6,7.4,74.5,0,0,0,,0,4.4,16.3,13.4,321.3,1037.4,12.3,5.8,130,11.1,5,,2025-02-22T06:32:17,2025-02-22T17:05:41,0.82,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-23,28.6,8.6,17.8,21.5,-3.5,7.9,9.3,69.5,0,0,0,,0,4.2,20.8,15.7,334.1,1029.9,2.1,6.2,130.8,11.3,5,,2025-02-23T06:30:20,2025-02-23T17:07:23,0.85,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-24,29.3,15.8,20.7,21,2.9,10.2,8.7,60.2,0,0,0,,0,3.5,20.4,15.7,339.2,1024,12.8,6.2,138.5,11.8,5,,2025-02-24T06:28:21,2025-02-24T17:09:04,0.88,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-25,26.3,6.8,16.8,26.3,-2.2,12.4,9,72.3,0,0,0,,0,3,16.6,6.7,357.4,1023.2,27.6,5.8,102.5,8.8,4,,2025-02-25T06:26:21,2025-02-25T17:10:45,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-02-26,26.8,12.2,18.5,24.9,4.5,14.2,13.9,83.2,0.028,100,4.17,snow,0,3.3,10.5,6.7,155.8,1025,64.9,4.5,136,11.7,5,,2025-02-26T06:24:21,2025-02-26T17:12:26,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
