name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kharkiv,2025-01-01,37.7,33.7,34.8,32.4,23.3,26.7,33,93.3,0.012,100,4.17,"rain,snow",0,0,30.2,17.9,252.4,1018.4,74.3,5.3,18.7,1.6,1,,2025-01-01T07:33:41,2025-01-01T15:44:03,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-02,49.1,35.6,39.6,43.4,26,31.8,29.1,66.3,0,0,0,,0,0,31.3,19,245.2,1009.2,4.3,6.2,52.1,4.4,3,,2025-01-02T07:33:35,2025-01-02T15:45:05,0.09,Clear,Clear conditions throughout the day.,clear-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-03,36.5,30.2,33.5,33.5,24.3,28.2,30.9,90.3,0.079,100,4.17,"rain,snow",0.1,0,22.4,12.3,243.5,1006.9,51.4,4.5,32.6,2.8,2,,2025-01-03T07:33:26,2025-01-03T15:46:10,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-04,30.4,24.8,27.4,28.1,13,19.6,25,90.9,0.118,100,4.17,"rain,snow",0.3,0.3,25.7,13.4,268.9,1007.7,85.7,5.8,33.6,2.8,2,,2025-01-04T07:33:14,2025-01-04T15:47:18,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-05,29.9,17.6,23.2,25.1,6.6,13.8,19,84,0,0,0,,0,0.3,27.1,14.5,266.8,1018.1,26.2,6.2,55.8,4.9,3,,2025-01-05T07:32:59,2025-01-05T15:48:28,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-06,30.8,17.6,23.1,24.6,7.7,15.1,20.7,90.4,0.079,100,4.17,"rain,snow",0.6,0.3,25.9,13.4,180.4,1019.9,46,5,21.8,1.9,1,,2025-01-06T07:32:41,2025-01-06T15:49:39,0.23,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-07,43.4,30.2,37.4,40.8,20.4,30.9,36.8,97.7,0.012,100,4.17,"rain,snow",0.3,0.3,25.3,12.3,208.6,1015.5,100,1.7,15.5,1.3,1,,2025-01-07T07:32:20,2025-01-07T15:50:53,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-08,48.4,42.8,44.9,46.1,36.3,40.6,43.8,96.1,0.044,100,29.17,rain,0,0,26.8,12.3,216.1,1012.2,100,2.4,9.7,0.9,1,,2025-01-08T07:31:55,2025-01-08T15:52:10,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-09,46.4,33.8,40.5,43,28.3,36.1,36.7,86.5,0.016,100,4.17,rain,0,0,29.1,17.9,263.2,1015.2,68.7,5.6,33.1,3,2,,2025-01-09T07:31:28,2025-01-09T15:53:28,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
kharkiv,2025-01-10,48.8,33.8,41.3,45.9,25.9,36.6,40.8,98.1,0.008,100,8.33,"rain,snow",0,0,21,11.2,154,1015.7,78.5,1.5,15.5,1.3,1,,2025-01-10T07:30:58,2025-01-10T15:54:48,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"UUOB,RSI0000UUOB,UPI0000UKHH,34300099999"
