name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kharkiv,2024-07-01T00:00:00,21.9,21.9,14.2,61.67,0,0,,0,0,6.1,0.1,350,1014.7,9.6,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-07-01T01:00:00,23,23,16,64.71,0,0,,0,0,6.8,0,0,1015,14.2,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-07-01T02:00:00,22,22,16,68.76,0,0,,0,0,7.9,3.6,50,1015,30.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-07-01T03:00:00,19.6,19.6,15.1,75.29,0,0,,0,0,8.3,0,0,1015,65,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-07-01T04:00:00,22,22,16,68.76,0,0,,0,0,7.6,0,0,1015,61,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-07-01T05:00:00,22,22,16,68.76,0,0,,0,0,7.6,0,0,1015,75.7,10,3.7,0,0,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-07-01T06:00:00,18.9,18.9,15.4,80.09,0,0,,0,0,7.2,0,0,1015.5,41.2,10,65.9,0.2,1,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-07-01T07:00:00,25,25,18,65.13,0,0,,0,0,9,3.6,120,1015,7,10,192.3,0.7,2,,Clear,clear-day,UUOB
kharkiv,2024-07-01T08:00:00,27.6,28.2,17.2,53.11,0,0,,0,0,10.1,1.4,66.7,1015,1,,343.6,1.2,3,,Clear,clear-day,remote
kharkiv,2024-07-01T09:00:00,28.2,28.6,16.9,50.32,0,0,,0,0,10.8,0,89.6,1014.3,2,10,499.2,1.8,5,,Clear,clear-day,34300099999
kharkiv,2024-07-01T10:00:00,27.9,28.3,16.7,50.56,0,0,,0,0,11.2,0.4,306.6,1014,8.9,,627.9,2.3,6,,Clear,clear-day,remote
kharkiv,2024-07-01T11:00:00,31.4,30.8,14.5,35.89,0,0,,0,0,12.6,1.1,0.4,1014,24.7,,753.3,2.7,8,,Partially cloudy,partly-cloudy-day,remote
kharkiv,2024-07-01T12:00:00,31.6,30.3,11.9,29.95,0,0,,0,0,13.7,7.2,250,1013.1,60,10,821.2,3,8,,Partially cloudy,partly-cloudy-day,34300099999
kharkiv,2024-07-01T13:00:00,32,31.1,13.5,32.51,0,0,,0,0,14.8,3.2,92.2,1013,14.2,,826.8,3,8,,Clear,clear-day,remote
kharkiv,2024-07-01T14:00:00,27,27.6,17,54.32,0,0,,0,0,15.1,3.2,107.8,1013,12,10,808.1,2.9,8,,Clear,clear-day,UUOB
kharkiv,2024-07-01T15:00:00,32.6,31.2,11.2,27,0,0,,0,0,14.8,7.1,249,1011.6,60,10,705.6,2.5,7,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-07-01T16:00:00,27,27.6,17,54.32,0,0,,0,0,14,7.2,20,1013,19.3,10,627.4,2.3,6,,Clear,clear-day,UUOB
kharkiv,2024-07-01T17:00:00,25,25,18,65.13,0,0,,0,0,13.7,14.4,360,1012,88,10,456.4,1.6,5,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-07-01T18:00:00,22.4,22.4,17.2,72.22,0,0,,0,0,12.2,10.7,80,1011.7,80.1,10,318.8,1.1,3,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-07-01T19:00:00,27,27.9,18,57.86,0,0,,0,0,11.2,7.2,170,1012,88,10,205.2,0.7,2,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-07-01T20:00:00,26,26,17,57.62,0,0,,0,0,6.5,3.6,160,1011,24.8,10,92.3,0.3,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-07-01T21:00:00,24.2,24.2,17.8,67.71,11,100,rain,0,0,9.7,0.1,180,1010.9,60,10,12.7,0,0,,"Rain, Partially cloudy",rain,"UUOB,34300099999"
kharkiv,2024-07-01T22:00:00,24.4,24.4,16.2,60.24,0,0,,0,0,11.5,8.6,167,1011,22.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
kharkiv,2024-07-01T23:00:00,24,24,17,64.92,0,0,,0,0,11.5,7.2,230,1011,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
