name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kharkiv,2024-06-01T00:00:00,18.6,18.6,12.6,67.95,0,0,,0,0,10.4,0.1,90,1014.5,49.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-06-01T01:00:00,15,15,14,93.74,0,0,,0,0,11.2,7.2,50,1014,13.4,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-06-01T02:00:00,15,15,13,87.83,0,0,,0,0,11.2,7.2,60,1015,15.2,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-06-01T03:00:00,16.1,16.1,12.9,81.09,0,0,,0,0,11.5,0.1,50,1015,23,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-06-01T04:00:00,15,15,14,93.74,0,0,,0,0,11.9,7.2,130,1015,21.8,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-06-01T05:00:00,15,15,13,87.83,0,0,,0,0,11.2,3.6,150,1015,8.6,10,3.7,0,0,,Clear,clear-day,UUOB
kharkiv,2024-06-01T06:00:00,15.4,15.4,12.9,85.1,0,0,,0,0,9.7,0.1,160,1015.7,32.5,10,68.4,0.2,1,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-06-01T07:00:00,18,18,14,77.46,0,0,,0,0,11.2,3.6,200,1015,2.1,10,196.6,0.7,2,,Clear,clear-day,UUOB
kharkiv,2024-06-01T08:00:00,20,20,14,68.37,0,0,,0,0,12.6,3.6,210,1016,0.8,10,351.1,1.3,4,,Clear,clear-day,UUOB
kharkiv,2024-06-01T09:00:00,24.1,24.1,13.1,50.13,0,0,,0,0,15.5,3.6,249,1016,0.8,10,507.6,1.8,5,,Clear,clear-day,"UUOB,34300099999"
kharkiv,2024-06-01T10:00:00,25,25,15,53.82,0,0,,0,0,20.2,7.2,250,1016,14.7,10,647.9,2.3,6,,Clear,clear-day,UUOB
kharkiv,2024-06-01T11:00:00,26,26,12,41.71,0,0,,0,0,24.8,10.8,260,1016,29,10,690.4,2.5,7,,Partially cloudy,partly-cloudy-day,UUOB
