name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kharkiv,2024-03-01T00:00:00,0,-3.6,-4,74.45,0,0,,0,0,12.6,10.8,140,1026,23.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-03-01T01:00:00,0,-4.3,-3,80.22,0,0,,0,0,13.3,14.4,140,1027,24.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-03-01T02:00:00,-0.4,-0.4,-4.3,74.58,0,0,,0,0,14,3.7,81,1028.6,16.7,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-03-01T03:00:00,-2,-6,-3,92.86,0,0,,0,0,13.7,10.8,130,1027,31.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-03-01T04:00:00,-2,-4.8,-3,92.86,0,0,,0,0,13.3,7.2,130,1027,24.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-03-01T05:00:00,-1.9,-4.7,-4.4,82.57,0,0,,0,0,13.3,7.3,81,1028.5,8.3,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
kharkiv,2024-03-01T06:00:00,-3,-7.2,-4,92.8,0,0,,0,0,13.3,10.8,120,1027,0,10,0,0,0,,Clear,clear-night,UUOB
kharkiv,2024-03-01T07:00:00,-3,-7.2,-4,92.8,0,0,,0,0,14.4,10.8,120,1027,0,10,16.5,0.1,0,,Clear,clear-day,UUOB
kharkiv,2024-03-01T08:00:00,-1.3,-1.3,-4.1,81.33,0,0,,0,0,19.4,3.8,81,1028.5,80,10,130.9,0.5,1,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-03-01T09:00:00,0,-3.6,-3,80.22,0,0,,0,0,21.6,10.8,110,1027,0,10,277.5,1,3,,Clear,clear-day,UUOB
