name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Kharkiv,2024-05-01T00:00:00,9.9,9.9,3.1,62.47,0,0,,0,0,13.7,0.2,300,1030.6,0,10,0,0,0,,Clear,clear-night,"UUOB,34300099999"
Kharkiv,2024-05-01T01:00:00,13,13,1,43.91,0,0,,0,0,13,3.6,340,1029,0,10,0,0,0,,Clear,clear-night,UUOB
Kharkiv,2024-05-01T02:00:00,14,14,1,41.14,0,0,,0,0,11.2,3.6,350,1029,0,10,0,0,0,,Clear,clear-night,UUOB
Kharkiv,2024-05-01T03:00:00,11,11,2,53.82,0,0,,0,0,10.8,3.6,320,1029,0,10,0,0,0,,Clear,clear-night,UUOB
Kharkiv,2024-05-01T04:00:00,11,11,2,53.82,0,0,,0,0,11.9,3.6,310,1028,0,10,0,0,0,,Clear,clear-night,UUOB
Kharkiv,2024-05-01T05:00:00,11,11,2,53.82,0,0,,0,0,12.6,0,0,1028,0,10,0,0,0,,Clear,clear-night,UUOB
Kharkiv,2024-05-01T06:00:00,11,11,3,57.78,0,0,,0,0,12.6,0,0,1028,0,10,20.1,0.1,0,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T07:00:00,13,13,5,58.29,0,0,,0,0,15.5,3.6,250,1028,0,10,134.6,0.5,1,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T08:00:00,15,15,4,47.74,0,0,,0,0,16.2,7.2,270,1027,0,10,296.2,1.1,3,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T09:00:00,18,18,5,42.3,0,0,,0,0,18,10.8,300,1027,0,10,463.7,1.7,5,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T10:00:00,20,20,3,32.44,0,0,,0,0,20.9,14.4,320,1027,0,10,614.3,2.2,6,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T11:00:00,21,21,3,30.5,0,0,,0,0,22.7,14.4,300,1026,0,10,732.7,2.6,7,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T12:00:00,22,22,3,28.69,0,0,,0,0,22.3,18,320,1025,0,10,808.6,2.9,8,,Clear,clear-day,UUOB
Kharkiv,2024-05-01T13:00:00,22,22,2,26.72,0,0,,0,0,22.7,14.4,320,1024,0,10,835.4,3,8,,Clear,clear-day,UUOB
