name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kharkiv,2024-11-01,51.5,37.3,45.6,51.5,32.1,41.4,41,84.2,0.008,100,4.17,rain,0,0,33.6,20.1,252.5,1008.5,92.8,6,13.5,1.1,1,,2024-11-01T06:25:14,2024-11-01T16:11:24,0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"UUOB,34300099999"
kharkiv,2024-11-02,51.8,35.5,45.2,51.8,26.6,38.8,33.9,66.4,0.055,100,8.33,rain,0,0,40.3,29.1,289.5,1005.2,57.1,6.2,35.5,3.1,2,,2024-11-02T06:26:54,2024-11-02T16:09:43,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"UUOB,34300099999"
kharkiv,2024-11-03,40.7,33.7,36.1,34.9,22.8,28.8,26.6,69.3,0.024,100,20.83,"rain,snow",0,0,32,17.9,295.2,1019.1,87.1,6.2,71.8,6.1,3,,2024-11-03T06:28:34,2024-11-03T16:08:03,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"UUOB,34300099999"
kharkiv,2024-11-04,38.5,31.9,33.7,29.4,19.2,23.2,29.4,84.8,0.079,100,4.17,"rain,snow",0.9,0,45.4,29.1,297.4,1005.3,97.1,5,48.2,4.1,2,,2024-11-04T06:30:13,2024-11-04T16:06:26,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"UUOB,34300099999"
kharkiv,2024-11-05,37.6,30.1,32.7,30.5,17.5,23.8,23.4,68.8,0,0,0,,0,0,31.5,20.1,306.4,1022,89.9,6.2,56.1,4.9,2,,2024-11-05T06:31:53,2024-11-05T16:04:50,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-11-06,44.9,33.7,40.2,42.5,25.3,34.3,39.1,96.1,0.079,100,4.17,rain,0,0,23,11.2,277.8,1022.4,99.5,4.8,15.7,1.4,1,,2024-11-06T06:33:33,2024-11-06T16:03:16,0.17,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"UUOB,34300099999"
kharkiv,2024-11-07,44.9,40.9,42.9,43.1,35.8,38.9,41.6,95.2,0.008,100,8.33,rain,0,0,21,13.4,286.1,1027.6,97.5,5.2,25,2.2,1,,2024-11-07T06:35:13,2024-11-07T16:01:43,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"UUOB,34300099999"
kharkiv,2024-11-08,42.7,39.1,41.2,42,34.3,37,39.4,93.6,0.016,100,16.67,rain,0,0,18.8,11.2,329.4,1028.2,96.1,5.3,24.7,2,1,,2024-11-08T06:36:53,2024-11-08T16:00:13,0.24,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"UUOB,34300099999"
kharkiv,2024-11-09,42.1,35.5,38.7,42.1,27.5,35.3,36.2,91,0,0,0,,0,0,14.1,11.2,325.2,1033,97.8,5.9,39.6,3.5,2,,2024-11-09T06:38:32,2024-11-09T15:58:44,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
kharkiv,2024-11-10,38.4,33.7,36.4,38.4,26.4,32.9,34.6,93,0,0,0,,0,0,14.3,11.2,335.9,1030.1,97.5,5.9,33.1,2.8,1,,2024-11-10T06:40:12,2024-11-10T15:57:17,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"UUOB,34300099999"
