name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kharkiv,2024-09-01T00:00:00,23.8,23.8,6.2,32.11,0,0,,0,0,27.7,3.8,50,1019.6,40,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-09-01T01:00:00,22,22,10,46.45,0,0,,0,0,28.4,14.4,80,1021,100,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-09-01T02:00:00,22,22,10,46.45,0,0,,0,0,28.4,14.4,80,1021,99.4,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-09-01T03:00:00,21.8,21.8,8.4,42.12,0,0,,0,0,27.7,7.3,50,1020.4,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-09-01T04:00:00,20,20,10,52.53,0,0,,0,0,25.2,14.4,70,1022,97.4,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-09-01T05:00:00,19,19,10,55.9,0,0,,0,0,23,14.4,70,1022,99,10,0,0,0,,Overcast,cloudy,UUOB
kharkiv,2024-09-01T06:00:00,20.6,20.6,9.1,47.49,0,0,,0,0,23.8,7.3,70,1020.7,50,10,0.1,0,0,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-01T07:00:00,20,20,10,52.53,0,0,,0,0,26.3,14.4,60,1022,98.4,10,50.3,0.2,1,,Overcast,cloudy,UUOB
kharkiv,2024-09-01T08:00:00,22,22,9,43.43,0,0,,0,0,29.2,14.4,80,1022,96.7,10,183.1,0.7,2,,Overcast,cloudy,UUOB
kharkiv,2024-09-01T09:00:00,25.3,25.3,7.4,31.81,0,0,,0,0,36.7,7.4,90,1021,40,10,340.7,1.2,3,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-01T10:00:00,26,26,8,31.92,0,0,,0,0,41.4,18,90,1023,75.4,10,488.4,1.8,5,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-01T11:00:00,28,26.9,7,26.5,0,0,,0,0,42.8,21.6,90,1023,72,10,608.9,2.2,6,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-01T12:00:00,29.6,28,5.7,22.01,0,0,,0,0,44.6,14.6,120,1020.8,60,10,689.6,2.5,7,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-01T13:00:00,29,27.5,6,23.34,0,0,,0,0,46.4,28.8,110,1022,26.3,10,719,2.6,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-01T14:00:00,30,28.3,6,22.04,0,0,,0,0,46.4,25.2,80,1022,6.8,10,692.2,2.5,7,,Clear,clear-day,UUOB
kharkiv,2024-09-01T15:00:00,31,29.1,4.7,18.93,0,0,,0,0,45.7,14.6,110,1019.7,80,10,632.2,2.3,6,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-01T16:00:00,29,27.5,6,23.34,0,0,,0,0,45,25.2,90,1021,7.6,10,517.5,1.9,5,,Clear,clear-day,UUOB
kharkiv,2024-09-01T17:00:00,29,27.6,7,25.01,0,0,,0,0,43.6,21.6,90,1021,14.1,10,368,1.3,4,,Clear,clear-day,UUOB
kharkiv,2024-09-01T18:00:00,28.8,27.4,4.4,21.07,0,0,,0,0,41.8,7.5,90,1019.4,80,10,211.1,0.8,2,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-01T19:00:00,25,25,6,29.53,0,0,,0,0,34.6,14.4,70,1021,39.2,10,69.3,0.2,1,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-01T20:00:00,23,23,7,35.68,0,0,,0,0,30.6,18,70,1022,48.1,10,1.5,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-01T21:00:00,24.3,24.3,4.7,28.11,0,0,,0,0,30.6,7.3,80,1020.6,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-09-01T22:00:00,20,20,7,42.87,0,0,,0,0,30.2,10.8,60,1022,60.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-01T23:00:00,19,19,7,45.62,0,0,,0,0,29.5,10.8,60,1022,60.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-02T00:00:00,21.1,21.1,4.7,34.16,0,0,,0,0,28.4,7.3,79,1020.8,43.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-09-02T01:00:00,17,17,7,51.73,0,0,,0,0,28.1,10.8,40,1022,41.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-02T02:00:00,16,16,6,51.47,0,0,,0,0,28.1,10.8,30,1021,42.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-02T03:00:00,19,19,5.2,40.21,0,0,,0,0,28.4,7.3,60,1019.4,53.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"UUOB,34300099999"
kharkiv,2024-09-02T04:00:00,16,16,6,51.47,0,0,,0,0,28.4,14.4,30,1020,45.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-02T05:00:00,16,16,6,51.47,0,0,,0,0,27.7,14.4,30,1020,20.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,UUOB
kharkiv,2024-09-02T06:00:00,18.8,18.8,5.7,42.16,0,0,,0,0,27,7.3,89,1019,80,10,0.1,0,0,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-02T07:00:00,16,16,7,55.13,0,0,,0,0,27.4,10.8,30,1020,39,10,42.7,0.2,0,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-02T08:00:00,18,18,7,48.57,0,0,,0,0,28.8,18,50,1020,42,10,167.3,0.6,2,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-02T09:00:00,21.6,21.6,7.2,39.21,0,0,,0,0,34.9,7.3,89,1019.3,90,10,316.5,1.1,3,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-02T10:00:00,23,23,7,35.68,0,0,,0,0,38.9,21.6,60,1021,16.5,10,456.9,1.6,5,,Clear,clear-day,UUOB
kharkiv,2024-09-02T11:00:00,27,26.4,8,30.09,0,0,,0,0,44.6,28.8,80,1021,10.2,10,589.8,2.1,6,,Clear,clear-day,UUOB
kharkiv,2024-09-02T12:00:00,27.5,26.7,6.9,27,0,0,,0,0,48.2,14.6,100,1018.4,80,10,656.6,2.4,7,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-02T13:00:00,29,27.7,8,26.78,0,0,,0,0,52.2,25.2,70,1020,22.7,10,676.2,2.4,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-02T14:00:00,31,29.1,7,22.29,0,0,,0,0,56.5,28.8,80,1019,38,10,672,2.4,7,,Partially cloudy,partly-cloudy-day,UUOB
kharkiv,2024-09-02T15:00:00,30.1,28.4,6.1,22.07,0,0,,0,0,57.6,25.3,89,1017,80,10,579.3,2.1,6,,Partially cloudy,partly-cloudy-day,"UUOB,34300099999"
kharkiv,2024-09-02T16:00:00,31,29.1,6,20.81,0,0,,0,0,56.9,36,90,1019,18.7,10,458.6,1.7,5,,Clear,clear-day,UUOB
