Date,Actual,Predicted
2012-04-13,351832.03,321959.22
2012-04-20,330063.06,322367.9
2012-04-27,324839.74,323567.44
2012-05-04,360932.69,324073.66
2012-05-11,333870.52,324261.94
2012-05-18,336189.66,324196.1
2012-05-25,341994.48,324161.62
2012-06-01,359867.8,324247.38
2012-06-08,341704.59,324025.22
2012-06-15,327383.64,323630.78
2012-06-22,325041.68,323152.6
2012-06-29,329658.1,322722.3
2012-07-06,341214.43,322233.75
2012-07-13,316203.64,322174.7
2012-07-20,321205.12,323743.66
2012-07-27,306827.36,326659.06
2012-08-03,324195.17,329560.47
2012-08-10,306759.7,331201.44
2012-08-17,314014.18,331618.9
2012-08-24,320831.36,331505.9
2012-08-31,344642.01,329976.12
2012-09-07,350648.91,329508.12
2012-09-14,299800.67,328406.56
2012-09-21,307306.76,329222.56
2012-09-28,310141.68,331169.5
2012-10-05,343048.29,333205.4
2012-10-12,325345.41,335394.7
2012-10-19,313358.15,339334.6
2012-10-26,319550.77,345247.7
