Date,Actual,Predicted
2012-04-13,2105301.39,2.1370122e+06
2012-04-20,2144336.89,2.140888e+06
2012-04-27,2064065.66,2.139449e+06
2012-05-04,2196968.33,2.1356458e+06
2012-05-11,2127661.17,2.130928e+06
2012-05-18,2207214.81,2.1311308e+06
2012-05-25,2154137.67,2.1358765e+06
2012-06-01,2179360.94,2.13587e+06
2012-06-08,2245257.18,2.1339385e+06
2012-06-15,2234190.93,2.132993e+06
2012-06-22,2197299.65,2.1311095e+06
2012-06-29,2128362.92,2.127382e+06
2012-07-06,2224499.28,2.121996e+06
2012-07-13,2100252.61,2.118062e+06
2012-07-20,2175563.69,2.1170932e+06
2012-07-27,2048613.65,2.115606e+06
2012-08-03,2174514.13,2.112618e+06
2012-08-10,2193367.69,2.110222e+06
2012-08-17,2283540.3,2.1111882e+06
2012-08-24,2125241.68,2.1144608e+06
2012-08-31,2081181.35,2.1167752e+06
2012-09-07,2125104.72,2.1174625e+06
2012-09-14,2117854.6,2.1112918e+06
2012-09-21,2119438.53,2.1246445e+06
2012-09-28,2027620.23,2.1413332e+06
2012-10-05,2209835.43,2.132143e+06
2012-10-12,2133026.07,2.129872e+06
2012-10-19,2097266.85,2.1390365e+06
2012-10-26,2149594.46,2.1455902e+06
