,Date,Actual,Predicted
0,2011-11-18,398838.97,452333.7721750967
1,2011-11-25,556925.19,474570.1397202824
2,2011-12-02,472511.32,502175.8988533148
3,2011-12-09,468772.8,532544.5159319149
4,2011-12-16,510747.62,548799.643121188
5,2011-12-23,551221.21,531218.811614457
6,2011-12-30,410553.88,477832.8720771387
7,2012-01-06,398178.21,412715.1132059017
8,2012-01-13,367438.62,370698.5794481396
9,2012-01-20,365818.61,371018.51425476675
10,2012-01-27,349518.1,404017.5565487638
11,2012-02-03,424960.66,442015.53272708575
12,2012-02-10,473292.47,462187.6202103022
13,2012-02-17,475591.08,460271.26564330934
14,2012-02-24,418925.47,446355.96571962297
15,2012-03-02,469752.56,431954.422727669
16,2012-03-09,445162.05,422125.14743036026
17,2012-03-16,411775.8,416541.00097590906
18,2012-03-23,413907.25,413480.6054771824
19,2012-03-30,407488.84,411262.1888350076
20,2012-04-06,503232.13,408120.9859168791
21,2012-04-13,420789.74,403497.39187446464
22,2012-04-20,434822.13,399563.00739119895
23,2012-04-27,394616.11,399487.41914689064
24,2012-05-04,439913.57,403157.7350161326
25,2012-05-11,431985.36,405930.0619420817
26,2012-05-18,418112.76,403427.1368372938
27,2012-05-25,413701.29,397393.08857401967
28,2012-06-01,432268.53,394812.71205936297
29,2012-06-08,446336.8,399974.61528778326
30,2012-06-15,442074.79,408424.2943778393
31,2012-06-22,419497.95,410701.36296469753
32,2012-06-29,422965.33,402507.1402904728
33,2012-07-06,411206.5,389841.08034418063
34,2012-07-13,416913.1,382991.0273350425
35,2012-07-20,432424.85,386081.8157147428
36,2012-07-27,389427.9,393821.8425394175
37,2012-08-03,419990.29,398319.3233539894
38,2012-08-10,391811.6,397266.1100247691
39,2012-08-17,394918.83,394331.87905171997
40,2012-08-24,412449.67,392978.25290271454
41,2012-08-31,408838.73,392529.3468985471
42,2012-09-07,408229.73,391002.80882882816
43,2012-09-14,407589.16,389523.2276172148
44,2012-09-21,414392.09,391312.32525019476
45,2012-09-28,389813.02,396479.9227725225
46,2012-10-05,443557.65,400530.64620901283
47,2012-10-12,410804.39,399964.82893409394
48,2012-10-19,424513.08,398227.4592282855
49,2012-10-26,405432.7,403498.3911305544
