Date,Actual,Predicted
2012-04-13,351832.03,331023.25
2012-04-20,330063.06,329819.78
2012-04-27,324839.74,329137.28
2012-05-04,360932.69,328446.06
2012-05-11,333870.52,327684.38
2012-05-18,336189.66,327121.25
2012-05-25,341994.48,327248.5
2012-06-01,359867.8,327848.1
2012-06-08,341704.59,327953.9
2012-06-15,327383.64,327593.6
2012-06-22,325041.68,327036.62
2012-06-29,329658.1,326990.38
2012-07-06,341214.43,326429.72
2012-07-13,316203.64,326577.16
2012-07-20,321205.12,327255.62
2012-07-27,306827.36,328020.47
2012-08-03,324195.17,328137.72
2012-08-10,306759.7,327702.25
2012-08-17,314014.18,326740.53
2012-08-24,320831.36,325840.78
2012-08-31,344642.01,325439.75
2012-09-07,350648.91,325216.53
2012-09-14,299800.67,323024.03
2012-09-21,307306.76,321010.7
2012-09-28,310141.68,320509.88
2012-10-05,343048.29,321006.25
2012-10-12,325345.41,323434.78
2012-10-19,313358.15,326818.8
2012-10-26,319550.77,330654.4
