,Date,Actual,Predicted
0,2011-11-18,398838.97,373962.12
1,2011-11-25,556925.19,373985.88
2,2011-12-02,472511.32,375153.78
3,2011-12-09,468772.8,373502.34
4,2011-12-16,510747.62,371184.3
5,2011-12-23,551221.21,368948.8
6,2011-12-30,410553.88,368811.9
7,2012-01-06,398178.21,366801.78
8,2012-01-13,367438.62,363873.44
9,2012-01-20,365818.61,366573.97
10,2012-01-27,349518.1,365394.44
11,2012-02-03,424960.66,366145.3
12,2012-02-10,473292.47,369428.6
13,2012-02-17,475591.08,374126.25
14,2012-02-24,418925.47,378414.06
15,2012-03-02,469752.56,376155.12
16,2012-03-09,445162.05,374257.3
17,2012-03-16,411775.8,373253.34
18,2012-03-23,413907.25,372980.38
19,2012-03-30,407488.84,374850.9
20,2012-04-06,503232.13,380755.28
21,2012-04-13,420789.74,383545.0
22,2012-04-20,434822.13,384008.97
23,2012-04-27,394616.11,384959.7
24,2012-05-04,439913.57,385116.38
25,2012-05-11,431985.36,385097.78
26,2012-05-18,418112.76,384912.47
27,2012-05-25,413701.29,384442.0
28,2012-06-01,432268.53,384735.84
29,2012-06-08,446336.8,383767.78
30,2012-06-15,442074.79,382935.9
31,2012-06-22,419497.95,381231.2
32,2012-06-29,422965.33,379763.47
33,2012-07-06,411206.5,378286.88
34,2012-07-13,416913.1,377162.62
35,2012-07-20,432424.85,376434.28
36,2012-07-27,389427.9,376677.3
37,2012-08-03,419990.29,376982.97
38,2012-08-10,391811.6,377682.06
39,2012-08-17,394918.83,378277.88
40,2012-08-24,412449.67,379101.0
41,2012-08-31,408838.73,380622.28
42,2012-09-07,408229.73,382218.78
43,2012-09-14,407589.16,384298.38
44,2012-09-21,414392.09,385920.7
45,2012-09-28,389813.02,387044.03
46,2012-10-05,443557.65,386600.78
47,2012-10-12,410804.39,386661.75
48,2012-10-19,424513.08,386594.12
49,2012-10-26,405432.7,386396.56
