,Date,Actual,Predicted
0,2011-11-18,398838.97,401845.24208691897
1,2011-11-25,556925.19,396650.763266233
2,2011-12-02,472511.32,508309.3279385503
3,2011-12-09,468772.8,465199.4155563487
4,2011-12-16,510747.62,465538.39638498786
5,2011-12-23,551221.21,496301.0563674091
6,2011-12-30,410553.88,530238.3097276157
7,2012-01-06,398178.21,442226.1404480239
8,2012-01-13,367438.62,419910.4991609137
9,2012-01-20,365818.61,390356.7867288223
10,2012-01-27,349518.1,385874.9398773794
11,2012-02-03,424960.66,372587.0588769815
12,2012-02-10,473292.47,420620.7612353001
13,2012-02-17,475591.08,452426.75094112806
14,2012-02-24,418925.47,456111.4444890802
15,2012-03-02,469752.56,420495.0781103111
16,2012-03-09,445162.05,453594.85954142426
17,2012-03-16,411775.8,439098.63887973793
18,2012-03-23,413907.25,417864.43832941615
19,2012-03-30,407488.84,418664.3226524602
20,2012-04-06,503232.13,414065.3363554681
21,2012-04-13,420789.74,474751.14951379504
22,2012-04-20,434822.13,424889.84336584905
23,2012-04-27,394616.11,433289.99717698153
24,2012-05-04,439913.57,408332.7769236989
25,2012-05-11,431985.36,435236.0319116225
26,2012-05-18,418112.76,430761.31600239757
27,2012-05-25,413701.29,422330.7213978725
28,2012-06-01,432268.53,419252.9018553079
29,2012-06-08,446336.8,430171.1234108981
30,2012-06-15,442074.79,438963.7210951668
31,2012-06-22,419497.95,436975.7533143414
32,2012-06-29,422965.33,423564.00193112966
33,2012-07-06,411206.5,425343.3740998084
34,2012-07-13,416913.1,417946.81567936187
35,2012-07-20,432424.85,420883.9655799391
36,2012-07-27,389427.9,430035.1870909738
37,2012-08-03,419990.29,404019.45125676214
38,2012-08-10,391811.6,421477.9895810824
39,2012-08-17,394918.83,404239.4227690121
40,2012-08-24,412449.67,405096.7586683282
41,2012-08-31,408838.73,414961.84753810416
42,2012-09-07,408229.73,412556.9720083297
43,2012-09-14,407589.16,411881.24525716895
44,2012-09-21,414392.09,411190.0855305812
45,2012-09-28,389813.02,415048.0533436472
46,2012-10-05,443557.65,399983.9954239402
47,2012-10-12,410804.39,431834.60653865425
48,2012-10-19,424513.08,412957.3494070695
49,2012-10-26,405432.7,421046.1864733024
