Date,Actual,Predicted
2012-04-13,351832.03,344814.29285753047
2012-04-20,330063.06,361547.2263951412
2012-04-27,324839.74,362976.2179511073
2012-05-04,360932.69,377279.6762356274
2012-05-11,333870.52,330737.74642643274
2012-05-18,336189.66,337340.4033858982
2012-05-25,341994.48,365301.60693007073
2012-06-01,359867.8,366776.56539885397
2012-06-08,341704.59,354334.0501747356
2012-06-15,327383.64,356672.9687795252
2012-06-22,325041.68,345596.00748017256
2012-06-29,329658.1,353499.06219332904
2012-07-06,341214.43,315058.5838619614
2012-07-13,316203.64,308260.502026165
2012-07-20,321205.12,318638.6272049823
2012-07-27,306827.36,329167.2374370199
2012-08-03,324195.17,325292.3813579152
2012-08-10,306759.7,305116.3060369894
2012-08-17,314014.18,307179.2422886097
2012-08-24,320831.36,293050.60647047416
2012-08-31,344642.01,316898.9090210983
2012-09-07,350648.91,364045.5731569476
2012-09-14,299800.67,315568.2906611297
2012-09-21,307306.76,296095.2607716246
2012-09-28,310141.68,315571.41845747863
2012-10-05,343048.29,286453.8756930805
2012-10-12,325345.41,312204.5495348363
2012-10-19,313358.15,331800.6078710808
2012-10-26,319550.77,332388.3900743816
