Date,Actual,Predicted
2011-11-18,398838.97,415408.4952536481
2011-11-25,556925.19,423595.0562146283
2011-12-02,472511.32,462154.1900032466
2011-12-09,468772.8,461434.0653744632
2011-12-16,510747.62,457772.22332423215
2011-12-23,551221.21,489870.8739538621
2011-12-30,410553.88,544227.4316928023
2012-01-06,398178.21,467598.4918579856
2012-01-13,367438.62,424125.0212415048
2012-01-20,365818.61,395673.50414669036
2012-01-27,349518.1,378361.41591544985
2012-02-03,424960.66,357514.26223964425
2012-02-10,473292.47,406597.3567110931
2012-02-17,475591.08,389227.32733889413
2012-02-24,418925.47,425963.54094327136
2012-03-02,469752.56,424819.2872584331
2012-03-09,445162.05,442131.47212563537
2012-03-16,411775.8,439716.59029037866
2012-03-23,413907.25,423766.6878543778
2012-03-30,407488.84,417521.62193242076
2012-04-06,503232.13,401527.4260959176
2012-04-13,420789.74,456637.99465315224
2012-04-20,434822.13,437620.62780466746
2012-04-27,394616.11,440060.4330964895
2012-05-04,439913.57,425478.33950934577
2012-05-11,431985.36,438359.5455551775
2012-05-18,418112.76,438193.86903894675
2012-05-25,413701.29,436313.38218286075
2012-06-01,432268.53,429433.52073081944
2012-06-08,446336.8,438832.4112704388
2012-06-15,442074.79,442509.8974063409
2012-06-22,419497.95,445137.07918427244
2012-06-29,422965.33,439120.5424016083
2012-07-06,411206.5,428000.1320131386
2012-07-13,416913.1,415710.02771652234
2012-07-20,432424.85,412597.36729943217
2012-07-27,389427.9,417504.387343757
2012-08-03,419990.29,406615.6214447541
2012-08-10,391811.6,408010.42287764425
2012-08-17,394918.83,395259.9545562422
2012-08-24,412449.67,388773.2378371407
2012-08-31,408838.73,401007.57693212305
2012-09-07,408229.73,423174.2645183904
2012-09-14,407589.16,395068.59826006484
2012-09-21,414392.09,398756.22327236226
2012-09-28,389813.02,407876.257136215
2012-10-05,443557.65,394764.1047461458
2012-10-12,410804.39,417379.8899199914
2012-10-19,424513.08,414499.52112852584
2012-10-26,405432.7,423099.347965109
