,Date,Actual,Predicted
0,2024-12-07,6.0,9.396487
1,2024-12-08,11.0,9.602299
2,2024-12-09,5.0,8.917537
3,2024-12-10,2.0,8.937034
4,2024-12-11,7.0,4.560543
5,2024-12-12,7.0,4.8170333
6,2024-12-13,8.0,5.745202
7,2024-12-14,11.0,6.0681343
8,2024-12-15,3.0,6.6802077
9,2024-12-16,8.0,6.501205
10,2024-12-17,7.0,8.689546
11,2024-12-18,4.0,5.9073753
12,2024-12-19,10.0,5.5469427
13,2024-12-20,9.0,5.8604465
14,2024-12-21,15.0,6.771118
15,2024-12-22,7.0,8.011298
16,2024-12-23,10.0,8.704234
17,2024-12-24,7.0,11.607134
18,2024-12-25,12.0,8.62376
19,2024-12-26,2.0,9.165432
20,2024-12-27,8.0,7.6723986
21,2024-12-28,8.0,7.3942842
22,2024-12-29,8.0,7.622594
23,2024-12-30,9.0,7.4546256
24,2024-12-31,16.0,8.893507
25,2025-01-01,0.0,8.507371
26,2025-01-02,9.0,8.43506
27,2025-01-03,7.0,7.8051996
28,2025-01-04,10.0,7.8637085
29,2025-01-05,3.0,8.156844
30,2025-01-06,1.0,7.2924476
31,2025-01-07,3.0,7.6475163
32,2025-01-08,4.0,4.242117
33,2025-01-09,9.0,4.693101
34,2025-01-10,5.0,5.9062266
35,2025-01-11,15.0,6.247934
36,2025-01-12,5.0,7.1302357
37,2025-01-13,8.0,6.5205693
38,2025-01-14,8.0,9.454269
39,2025-01-15,10.0,7.1831455
40,2025-01-16,10.0,7.868495
41,2025-01-17,9.0,8.194233
42,2025-01-18,4.0,8.211828
43,2025-01-19,0.0,8.426964
44,2025-01-20,10.0,8.20331
45,2025-01-21,8.0,8.623304
46,2025-01-22,7.0,5.145258
47,2025-01-23,0.0,6.247853
48,2025-01-24,7.0,5.975467
49,2025-01-25,3.0,6.4149814
50,2025-01-26,2.0,6.226315
51,2025-01-27,10.0,6.0409884
52,2025-01-28,9.0,7.5597954
53,2025-01-29,4.0,5.3465004
54,2025-01-30,9.0,7.0756197
55,2025-01-31,12.0,6.976533
56,2025-02-01,11.0,7.9985437
57,2025-02-02,7.0,8.033854
58,2025-02-03,25.0,9.123895
59,2025-02-04,12.0,12.479953
60,2025-02-05,24.0,11.044002
61,2025-02-06,12.0,13.100312
62,2025-02-07,16.0,11.395715
