,Date,Actual,Predicted
0,2024-12-07,6.0,9.134566
1,2024-12-08,11.0,9.834281
2,2024-12-09,5.0,9.664422
3,2024-12-10,2.0,10.504448
4,2024-12-11,7.0,9.537158
5,2024-12-12,7.0,8.043442
6,2024-12-13,8.0,7.591311
7,2024-12-14,11.0,8.160577
8,2024-12-15,3.0,8.907012
9,2024-12-16,8.0,8.728247
10,2024-12-17,7.0,9.73284
11,2024-12-18,4.0,9.403649
12,2024-12-19,10.0,8.162514
13,2024-12-20,9.0,7.7106977
14,2024-12-21,15.0,8.282197
15,2024-12-22,7.0,9.076459
16,2024-12-23,10.0,9.333372
17,2024-12-24,7.0,10.697655
18,2024-12-25,12.0,10.48786
19,2024-12-26,2.0,9.311562
20,2024-12-27,8.0,8.478762
21,2024-12-28,8.0,8.720712
22,2024-12-29,8.0,9.166834
23,2024-12-30,9.0,9.241771
24,2024-12-31,16.0,10.000981
25,2025-01-01,0.0,9.533684
26,2025-01-02,9.0,8.41551
27,2025-01-03,7.0,8.215735
28,2025-01-04,10.0,8.632035
29,2025-01-05,3.0,9.323039
30,2025-01-06,1.0,9.306447
31,2025-01-07,3.0,10.11721
32,2025-01-08,4.0,8.919641
33,2025-01-09,9.0,7.8193192
34,2025-01-10,5.0,7.388489
35,2025-01-11,15.0,7.9870157
36,2025-01-12,5.0,8.738424
37,2025-01-13,8.0,8.617897
38,2025-01-14,8.0,9.893414
39,2025-01-15,10.0,9.6816025
40,2025-01-16,10.0,8.5748005
41,2025-01-17,9.0,8.07869
42,2025-01-18,4.0,8.741376
43,2025-01-19,0.0,9.230294
44,2025-01-20,10.0,9.301955
45,2025-01-21,8.0,9.926246
46,2025-01-22,7.0,9.041496
47,2025-01-23,0.0,7.7656493
48,2025-01-24,7.0,7.5411243
49,2025-01-25,3.0,8.132223
50,2025-01-26,2.0,8.717671
51,2025-01-27,10.0,8.708668
52,2025-01-28,9.0,9.060167
53,2025-01-29,4.0,8.348526
54,2025-01-30,9.0,7.542738
55,2025-01-31,12.0,7.551236
56,2025-02-01,11.0,8.312637
57,2025-02-02,7.0,9.166295
58,2025-02-03,25.0,9.535941
59,2025-02-04,12.0,10.65439
60,2025-02-05,24.0,11.048461
61,2025-02-06,12.0,11.131816
62,2025-02-07,16.0,11.083112
