,Date,Actual,Predicted
0,2012-04-13,351832.03,369656.5089377567
1,2012-04-20,330063.06,348030.0565817826
2,2012-04-27,324839.74,337511.67836930515
3,2012-05-04,360932.69,333950.08424958185
4,2012-05-11,333870.52,350782.15229630115
5,2012-05-18,336189.66,338633.02498059673
6,2012-05-25,341994.48,339211.2249859529
7,2012-06-01,359867.8,341708.5159680643
8,2012-06-08,341704.59,350500.2910787278
9,2012-06-15,327383.64,342673.01772884344
10,2012-06-22,325041.68,335534.2540114573
11,2012-06-29,329658.1,333461.15779913816
12,2012-07-06,341214.43,334789.3377677873
13,2012-07-13,316203.64,339880.1566247374
14,2012-07-20,321205.12,327804.85681901
15,2012-07-27,306827.36,328951.97288660187
16,2012-08-03,324195.17,320918.0121401218
17,2012-08-10,306759.7,327888.35645204136
18,2012-08-17,314014.18,318602.8656215187
19,2012-08-24,320831.36,320658.23502800334
20,2012-08-31,344642.01,323222.5593942222
21,2012-09-07,350648.91,335073.3278463209
22,2012-09-14,299800.67,339281.7084112094
23,2012-09-21,307306.76,315447.9042099824
24,2012-09-28,310141.68,317258.57378125703
25,2012-10-05,343048.29,317422.8171471782
26,2012-10-12,325345.41,332969.1444960972
27,2012-10-19,313358.15,325384.270675067
28,2012-10-26,319550.77,319489.22348645586
