,Date,Actual,Predicted
0,2024-12-07,6.0,8.776783
1,2024-12-08,11.0,9.188445
2,2024-12-09,5.0,9.40389
3,2024-12-10,2.0,8.7515955
4,2024-12-11,7.0,5.4279637
5,2024-12-12,7.0,5.953741
6,2024-12-13,8.0,6.2238336
7,2024-12-14,11.0,6.551894
8,2024-12-15,3.0,7.6085663
9,2024-12-16,8.0,7.2536697
10,2024-12-17,7.0,8.364038
11,2024-12-18,4.0,6.0997133
12,2024-12-19,10.0,6.38054
13,2024-12-20,9.0,6.5506983
14,2024-12-21,15.0,7.1999626
15,2024-12-22,7.0,8.2950945
16,2024-12-23,10.0,9.118929
17,2024-12-24,7.0,10.428212
18,2024-12-25,12.0,8.172131
19,2024-12-26,2.0,8.875097
20,2024-12-27,8.0,7.7718015
21,2024-12-28,8.0,7.3739
22,2024-12-29,8.0,8.243252
23,2024-12-30,9.0,8.357196
24,2024-12-31,16.0,8.79385
25,2025-01-01,0.0,8.88668
26,2025-01-02,9.0,8.521689
27,2025-01-03,7.0,7.9948187
28,2025-01-04,10.0,7.738709
29,2025-01-05,3.0,8.505323
30,2025-01-06,1.0,7.9177866
31,2025-01-07,3.0,7.463392
32,2025-01-08,4.0,4.9731917
33,2025-01-09,9.0,5.489428
34,2025-01-10,5.0,5.845849
35,2025-01-11,15.0,6.265263
36,2025-01-12,5.0,7.5108194
37,2025-01-13,8.0,7.2376685
38,2025-01-14,8.0,8.781047
39,2025-01-15,10.0,6.983082
40,2025-01-16,10.0,8.010531
41,2025-01-17,9.0,8.428329
42,2025-01-18,4.0,8.178508
43,2025-01-19,0.0,8.523245
44,2025-01-20,10.0,8.317915
45,2025-01-21,8.0,8.643336
46,2025-01-22,7.0,5.8942227
47,2025-01-23,0.0,7.208825
48,2025-01-24,7.0,6.2180066
49,2025-01-25,3.0,6.1630564
50,2025-01-26,2.0,6.652835
51,2025-01-27,10.0,6.2542763
52,2025-01-28,9.0,8.001386
53,2025-01-29,4.0,6.1887317
54,2025-01-30,9.0,7.4488707
55,2025-01-31,12.0,7.132693
56,2025-02-01,11.0,7.85555
57,2025-02-02,7.0,8.402542
58,2025-02-03,25.0,9.360729
59,2025-02-04,12.0,11.496173
60,2025-02-05,24.0,11.578566
61,2025-02-06,12.0,13.083625
62,2025-02-07,16.0,11.848902
