,Date,Actual,Predicted
0,2024-12-07,6.0,8.28140555329794
1,2024-12-08,11.0,8.873439208433277
2,2024-12-09,5.0,9.617624204677888
3,2024-12-10,2.0,11.272485167108158
4,2024-12-11,7.0,8.880418107026475
5,2024-12-12,7.0,9.948533627914156
6,2024-12-13,8.0,9.740531793545053
7,2024-12-14,11.0,9.7043865843247
8,2024-12-15,3.0,10.172103957322623
9,2024-12-16,8.0,10.751913148150503
10,2024-12-17,7.0,12.204368843425517
11,2024-12-18,4.0,9.574990172446588
12,2024-12-19,10.0,10.37506589875347
13,2024-12-20,9.0,9.873458820240774
14,2024-12-21,15.0,9.524188383902226
15,2024-12-22,7.0,9.666057590364069
16,2024-12-23,10.0,9.914686824745885
17,2024-12-24,7.0,11.038436108104193
18,2024-12-25,12.0,8.090846352546869
19,2024-12-26,2.0,8.591234280456973
20,2024-12-27,8.0,7.816279796399083
21,2024-12-28,8.0,7.227390935062869
22,2024-12-29,8.0,7.170118739643751
23,2024-12-30,9.0,7.265990964375861
24,2024-12-31,16.0,8.288252145283053
25,2025-01-01,0.0,5.294146281569483
26,2025-01-02,9.0,5.805381882326664
27,2025-01-03,7.0,5.099622536602166
28,2025-01-04,10.0,4.637791632834652
29,2025-01-05,3.0,4.763466099656954
30,2025-01-06,1.0,5.094729503980835
31,2025-01-07,3.0,6.399972355252101
32,2025-01-08,4.0,3.730274998457995
33,2025-01-09,9.0,4.600010830465352
34,2025-01-10,5.0,4.278509857076032
35,2025-01-11,15.0,4.2175670276386015
36,2025-01-12,5.0,4.7510650861388495
37,2025-01-13,8.0,5.487076330110849
38,2025-01-14,8.0,7.1839245286620566
39,2025-01-15,10.0,4.882835311408817
40,2025-01-16,10.0,6.088805413801546
41,2025-01-17,9.0,6.062523375661868
42,2025-01-18,4.0,6.248118848212217
43,2025-01-19,0.0,6.9730033158955536
44,2025-01-20,10.0,7.840160242310823
45,2025-01-21,8.0,9.604360250428103
46,2025-01-22,7.0,7.304924916344417
47,2025-01-23,0.0,8.446665886474339
48,2025-01-24,7.0,8.291829411802736
49,2025-01-25,3.0,8.28782221002968
50,2025-01-26,2.0,8.766981525665168
51,2025-01-27,10.0,9.338748783445638
52,2025-01-28,9.0,10.765725128471411
53,2025-01-29,4.0,8.096236352528036
54,2025-01-30,9.0,8.84503897543482
55,2025-01-31,12.0,8.285003642930095
56,2025-02-01,11.0,7.874558667791445
57,2025-02-02,7.0,7.957164162319846
58,2025-02-03,25.0,8.153184190907414
59,2025-02-04,12.0,9.235643503491978
60,2025-02-05,24.0,6.262504620659088
61,2025-02-06,12.0,6.757105082129627
62,2025-02-07,16.0,5.999598607081678
