,Date,Actual,Predicted
0,2024-12-07,6.0,8.504272
1,2024-12-08,11.0,8.465248
2,2024-12-09,5.0,8.773861
3,2024-12-10,2.0,8.674747
4,2024-12-11,7.0,7.4480395
5,2024-12-12,7.0,6.5390143
6,2024-12-13,8.0,6.1587873
7,2024-12-14,11.0,6.395866
8,2024-12-15,3.0,7.25098
9,2024-12-16,8.0,7.8364644
10,2024-12-17,7.0,8.242121
11,2024-12-18,4.0,7.8964534
12,2024-12-19,10.0,6.995891
13,2024-12-20,9.0,6.7243075
14,2024-12-21,15.0,6.96344
15,2024-12-22,7.0,7.9961367
16,2024-12-23,10.0,9.159885
17,2024-12-24,7.0,9.693684
18,2024-12-25,12.0,9.255665
19,2024-12-26,2.0,8.913398
20,2024-12-27,8.0,7.914212
21,2024-12-28,8.0,7.4927125
22,2024-12-29,8.0,7.574596
23,2024-12-30,9.0,8.26084
24,2024-12-31,16.0,8.572724
25,2025-01-01,0.0,8.911535
26,2025-01-02,9.0,8.051074
27,2025-01-03,7.0,7.676594
28,2025-01-04,10.0,7.459137
29,2025-01-05,3.0,7.9166703
30,2025-01-06,1.0,8.277829
31,2025-01-07,3.0,7.7588415
32,2025-01-08,4.0,6.471871
33,2025-01-09,9.0,5.6800475
34,2025-01-10,5.0,5.5000486
35,2025-01-11,15.0,5.698963
36,2025-01-12,5.0,6.806427
37,2025-01-13,8.0,7.9177165
38,2025-01-14,8.0,8.634354
39,2025-01-15,10.0,8.410447
40,2025-01-16,10.0,8.076295
41,2025-01-17,9.0,7.8842006
42,2025-01-18,4.0,8.100935
43,2025-01-19,0.0,8.110637
44,2025-01-20,10.0,8.168703
45,2025-01-21,8.0,8.067504
46,2025-01-22,7.0,7.533913
47,2025-01-23,0.0,6.9611835
48,2025-01-24,7.0,6.1517754
49,2025-01-25,3.0,5.9761844
50,2025-01-26,2.0,6.1704907
51,2025-01-27,10.0,6.6030674
52,2025-01-28,9.0,6.9921904
53,2025-01-29,4.0,7.0249276
54,2025-01-30,9.0,6.625727
55,2025-01-31,12.0,6.6539006
56,2025-02-01,11.0,7.1791162
57,2025-02-02,7.0,8.206593
58,2025-02-03,25.0,9.230029
59,2025-02-04,12.0,10.485574
60,2025-02-05,24.0,10.963235
61,2025-02-06,12.0,11.516117
62,2025-02-07,16.0,11.589679
