,Date,Actual,Predicted
0,2024-12-07,6.0,8.195165826154017
1,2024-12-08,11.0,7.833214193298016
2,2024-12-09,5.0,8.354751084034772
3,2024-12-10,2.0,7.8042282129424585
4,2024-12-11,7.0,6.843766963065227
5,2024-12-12,7.0,6.870283924951843
6,2024-12-13,8.0,6.892044439643487
7,2024-12-14,11.0,7.07614054273825
8,2024-12-15,3.0,7.720543989745019
9,2024-12-16,8.0,6.949748957752322
10,2024-12-17,7.0,7.121780469198275
11,2024-12-18,4.0,7.101920813210185
12,2024-12-19,10.0,6.594648557857715
13,2024-12-20,9.0,7.151430248865109
14,2024-12-21,15.0,7.451216777267787
15,2024-12-22,7.0,8.681856731473813
16,2024-12-23,10.0,8.402151589284477
17,2024-12-24,7.0,8.664605932436992
18,2024-12-25,12.0,8.391498255502404
19,2024-12-26,2.0,8.981030950616024
20,2024-12-27,8.0,7.849919614661982
21,2024-12-28,8.0,7.873881390078706
22,2024-12-29,8.0,7.89400973379374
23,2024-12-30,9.0,7.910928785100862
24,2024-12-31,16.0,8.084581606047543
25,2025-01-01,0.0,9.349901434547647
26,2025-01-02,9.0,7.866342382026188
27,2025-01-03,7.0,8.041921407432998
28,2025-01-04,10.0,7.880742878177074
29,2025-01-05,3.0,8.208363094414754
30,2025-01-06,1.0,7.405039242105161
31,2025-01-07,3.0,6.398728911373504
32,2025-01-08,4.0,5.841947185812765
33,2025-01-09,9.0,5.533905874019378
34,2025-01-10,5.0,6.104369186725972
35,2025-01-11,15.0,5.927989373788828
36,2025-01-12,5.0,7.343915924157198
37,2025-01-13,8.0,6.983599305909939
38,2025-01-14,8.0,7.139321269814357
39,2025-01-15,10.0,7.271311610005588
40,2025-01-16,10.0,7.690886491341436
41,2025-01-17,9.0,8.049308448204243
42,2025-01-18,4.0,8.197984121379973
43,2025-01-19,0.0,7.547729283064913
44,2025-01-20,10.0,6.395847524099196
45,2025-01-21,8.0,6.948825115928976
46,2025-01-22,7.0,7.107766785871541
47,2025-01-23,0.0,7.091506897894575
48,2025-01-24,7.0,6.0183741257041685
49,2025-01-25,3.0,6.169471518598027
50,2025-01-26,2.0,5.683255082534616
51,2025-01-27,10.0,5.106030179778028
52,2025-01-28,9.0,5.86936942529022
53,2025-01-29,4.0,6.341074206787216
54,2025-01-30,9.0,5.99012955903979
55,2025-01-31,12.0,6.440966454141401
56,2025-02-01,11.0,7.27341222551455
57,2025-02-02,7.0,7.843937547357897
58,2025-02-03,25.0,7.71313220242141
59,2025-02-04,12.0,10.490000094186176
60,2025-02-05,24.0,10.774304903710838
61,2025-02-06,12.0,13.427078849801257
62,2025-02-07,16.0,13.110681164540537
